date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip,house_age,price_log,sqft_living_log,cluster,PCA1,PCA2,market_segment,city_freq
2014-05-02,313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955-01-01,2005-01-01,Shoreline,WA 98133,59,12.653961664405365,7.201170883281678,1,-1.164542918447075,-0.2310133579616147,Entry-Level / Affordable Urban Homes,0.027080581241743725
2014-05-02,2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921-01-01,,Seattle,WA 98119,93,14.684290726630376,8.202756381655638,0,1.8297693355341365,3.893284924145221,Premium / Luxury Homes,0.3430206957287539
2014-05-02,342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966-01-01,,Kent,WA 98042,48,12.742568940017076,7.565793282428515,1,-0.43042102348710753,0.17257721410704363,Entry-Level / Affordable Urban Homes,0.040290620871862616
2014-05-02,420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963-01-01,,Bellevue,WA 98008,51,12.948012371209098,7.601402334583733,2,-0.1898436151517638,0.157681632225657,Mid-Market / Family-Oriented Homes,0.06142668428005284
2014-05-02,550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976-01-01,1992-01-01,Redmond,WA 98052,38,13.217675375388819,7.57095858316901,2,0.5739606448978971,0.24533641877374524,Mid-Market / Family-Oriented Homes,0.05129898723029502
2014-05-02,490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938-01-01,1994-01-01,Seattle,WA 98115,76,13.102162710901053,6.78105762593618,1,-2.5354137363791565,-0.2865506068680724,Entry-Level / Affordable Urban Homes,0.3430206957287539
2014-05-02,335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976-01-01,,Redmond,WA 98052,38,12.721888795877375,7.208600337960199,1,-1.108240284615619,-0.8743895176296042,Entry-Level / Affordable Urban Homes,0.05129898723029502
2014-05-02,482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,1989-01-01,,Maple Valley,WA 98038,25,13.085701467719382,7.905072849498666,2,0.9667573541872201,-0.4359480638328235,Mid-Market / Family-Oriented Homes,0.020915896081021578
2014-05-02,452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,1985-01-01,,North Bend,WA 98045,29,13.022545252064427,7.796057974316123,2,0.29642113941934223,-0.11884717486641727,Mid-Market / Family-Oriented Homes,0.011008366358432409
2014-05-02,640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945-01-01,2010-01-01,Seattle,WA 98115,69,13.369225017834633,7.327123292259293,2,-0.15737779921915726,0.08857287144311365,Mid-Market / Family-Oriented Homes,0.3430206957287539
